2026-05-09,行业代码,行业名称,成份个数,静态市盈率,TTM市盈率,市净率,静态股息率,PE百分位,PB百分位,股息率百分位,评分
801010.SI,农林牧渔,104,25.28,31.9,2.37,2.05,70.0,43.3,50.0,37.2
801030.SI,基础化工,409,29.89,28.91,2.65,1.4,56.7,63.3,76.7,30.2
801040.SI,钢铁,44,19.81,20.25,1.12,2.01,30.0,6.7,53.3,74.5
801050.SI,有色金属,142,29.26,23.87,4.04,1.15,40.0,86.7,83.3,28.5
801080.SI,电子,484,73.27,65.17,6.73,0.48,93.3,100.0,100.0,2.3
801880.SI,汽车,286,26.21,27.51,2.53,1.6,53.3,56.7,70.0,34.7
801110.SI,家用电器,94,16.35,16.64,2.46,3.77,20.0,53.3,10.0,62.2
801120.SI,食品饮料,124,22.1,21.77,3.78,4.29,33.3,80.0,6.7,51.7
801130.SI,纺织服饰,107,22.24,22.18,1.85,3.48,36.7,30.0,16.7,68.5
801140.SI,轻工制造,158,25.9,26.61,2.41,2.27,50.0,50.0,36.7,45.8
801150.SI,医药生物,480,30.28,29.81,2.74,1.67,63.3,66.7,63.3,30.3
801160.SI,公用事业,131,19.78,20.2,1.89,2.62,26.7,33.3,26.7,68.7
801170.SI,交通运输,126,16.17,15.89,1.29,3.37,16.7,16.7,20.0,85.0
801180.SI,房地产,99,13.39,13.31,1.2,1.63,10.0,10.0,66.7,77.3
801200.SI,商贸零售,99,29.24,26.34,2.17,1.74,46.7,40.0,60.0,51.7
801210.SI,社会服务,81,34.41,34.84,2.65,1.55,76.7,60.0,73.3,24.8
801780.SI,银行,42,6.91,6.86,0.65,5.5,0.0,0.0,0.0,100.0
801790.SI,非银金融,82,10.58,10.59,1.29,2.3,3.3,13.3,33.3,87.2
801230.SI,综合,15,139.52,137.88,5.18,0.56,100.0,96.7,93.3,2.5
801710.SI,建筑材料,72,36.87,36.15,2.02,2.52,80.0,36.7,30.0,40.3
801720.SI,建筑装饰,156,11.61,12.11,0.77,2.73,6.7,3.3,23.3,91.0
801730.SI,电力设备,369,39.91,37.45,4.03,1.06,83.3,83.3,86.7,13.3
801890.SI,机械设备,535,40.71,40.67,3.43,1.18,86.7,76.7,80.0,15.5
801740.SI,国防军工,140,77.61,69.5,4.52,0.5,96.7,90.0,96.7,4.5
801750.SI,计算机,334,58.05,54.94,4.52,0.95,90.0,93.3,90.0,7.7
801760.SI,传媒,130,30.48,29.34,2.4,2.12,60.0,46.7,40.0,42.3
801770.SI,通信,123,30.5,30.16,2.85,2.1,66.7,73.3,43.3,32.5
801950.SI,煤炭,37,18.39,18.45,1.69,5.0,23.3,23.3,3.3,85.2
801960.SI,石油石化,47,15.64,14.97,1.41,3.65,13.3,20.0,13.3,87.0
801970.SI,环保,133,26.32,24.77,1.82,1.75,43.3,26.7,56.7,57.0
801980.SI,美容护理,29,33.18,33.59,2.81,2.07,73.3,70.0,46.7,30.2
