2023-03-15,,,Current drawdown,Largest drawdown,To lowest drawdown 📉🔽,To Highest required 📈🔼,position
A股,399965,800地产,-43.66%,-48.28%,8.20%,77.49%,*
A股,000827,中证环保,-32.36%,-38.99%,9.80%,47.84%,
A股,399986,中证银行,-25.96%,-33.38%,10.02%,35.06%,
A股,399975,证券公司,-36.84%,-43.24%,10.13%,58.33%,*
A股,931052,国信价值,-12.72%,-21.98%,10.61%,14.57%,
观察,000015,红利指数,-12.78%,-22.77%,11.45%,14.65%,
A股,399441,生物医药,-52.22%,-57.74%,11.55%,109.29%,*
A股,000992,全指金融,-31.68%,-39.77%,11.84%,46.37%,
A股,000922,中证红利,-10.34%,-20.97%,11.86%,11.53%,
A股,000300,沪深300,-31.39%,-39.59%,11.95%,45.75%,
A股,H30269,红利低波,-4.93%,-16.95%,12.64%,5.19%,
观察,930743,中证生科,-46.52%,-53.29%,12.66%,86.99%,
A股,399812,养老产业,-36.16%,-44.38%,12.88%,56.64%,
A股,000989,全指可选,-26.97%,-36.39%,12.90%,36.93%,
A股,000016,上证50,-34.34%,-43.01%,13.20%,52.30%,
A股,000919,300价值,-23.39%,-34.35%,14.31%,30.53%,
A股,399394,国证医药,-43.18%,-51.38%,14.43%,75.99%,
A股,000905,中证500,-19.08%,-31.57%,15.43%,23.58%,
A股,930782,500SNLV,-12.11%,-25.72%,15.49%,13.78%,
A股,H30094,消费红利,-7.11%,-21.59%,15.59%,7.65%,
A股,000991,全指医药,-33.06%,-43.93%,16.24%,49.39%,
A股,000978,医药100,-34.36%,-45.48%,16.94%,52.35%,
A股,950090,上证50优选,-33.20%,-44.73%,17.26%,49.70%,
A股,000925,基本面50,-15.32%,-30.02%,17.36%,18.09%,
A股,000990,全指消费,-29.98%,-43.59%,19.44%,42.82%,
A股,399324,深证红利,-39.98%,-52.50%,20.86%,66.61%,
A股,000993,全指信息,-33.18%,-47.56%,21.52%,49.66%,
港股,HSHKBIO,恒生生物科技,-57.76%,-67.23%,22.42%,136.74%,*
A股,931160,通信设备,-33.49%,-48.57%,22.67%,50.35%,*
港股,HSCEI,国企指数,-47.34%,-59.61%,23.30%,89.90%,
港股,HSHCI,恒生医疗保健,-57.75%,-67.64%,23.41%,136.69%,
港股,HSI,恒生指数,-38.08%,-52.75%,23.69%,61.50%,
港股,HSHDYI,恒生高股息,-22.68%,-41.86%,24.81%,29.33%,*
港股,HSTECH,恒生科技,-65.37%,-74.40%,26.08%,188.77%,
A股,H30533,中国互联网50,-64.35%,-73.99%,27.04%,180.50%,*
A股,399971,中证传媒,-38.98%,-55.82%,27.60%,63.88%,*
A股,399997,中证白酒,-23.24%,-44.59%,27.81%,30.28%,
A股,000994,全指电信,-23.12%,-46.33%,30.19%,30.07%,
